Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;
add to beginning of list clojure;6;3;0;0;1;3;16.67;50.0;1;5;other language
can we suspend/disable Control-M job for a period of time strictly fro;12;4;0;0;0;5;0.0;41.67;1;5;environment
null pointer exception;3;0;0;0;0;2;0.0;66.67;1;5;too general
how to freeze a table header using jquery;8;3;0;0;2;3;25.0;37.5;1;5;other language
itk image registration how to register;6;2;0;0;1;3;16.67;50.0;1;5;no obvious reason
acknowledge SqsListener message;3;0;0;0;1;2;33.33;66.67;1;10;no obvious reason
502 bad gateway running a jsp on tomcat;8;1;0;0;1;3;12.5;37.5;1;5;debug corrective
delete item from list;4;1;0;0;1;2;25.0;50.0;1;5;no obvious reason
how do I print hello world;6;4;0;0;2;1;33.33;16.67;1;5;no obvious reason
how to remove an element from an array;8;4;0;0;1;2;12.5;25.0;1;10;no obvious reason
how to create singleton;4;2;0;0;1;1;25.0;25.0;2;5;
how to define singleton;4;2;0;0;1;1;25.0;25.0;1;5;no obvious reason
How to log data?;4;1;0;0;1;1;25.0;25.0;2;10;
Delete temporary files automatically;4;0;0;0;1;1;25.0;25.0;2;5;
how do I add headers to a reponse in flask;10;4;0;0;2;3;20.0;30.0;1;5;other language
Connect Logitech MX Anywhere in Ubuntu;6;1;0;0;1;4;16.67;66.67;1;10;non development
"Connect ""Logitech MX Anywhere mouse"" in Ubuntu";7;1;0;0;1;5;14.29;71.43;1;10
Check if a user is running IE10;7;2;0;0;3;2;42.86;28.57;1;5;no obvious reason
How to create an interface in typescript;7;3;0;0;1;2;14.29;28.57;1;5;other language
how to open an ssl connection;6;3;0;0;1;2;16.67;33.33;3;5;
how to insert an element array in a given position;10;5;0;0;2;3;20.0;30.0;3;10;
crozier;1;0;0;0;0;1;0.0;100.0;1;5;strange query
"How to print ""hello world""?";5;1;0;0;1;1;20.0;20.0;3;5
how to create singleton class;5;2;0;0;1;2;20.0;40.0;1;1;no obvious reason
HTML5 Canvas draw sizable grid;5;0;0;0;1;3;20.0;60.0;3;5;
HTML5 Canvas draw resizable grid;5;0;0;0;1;3;20.0;60.0;2;5;
keras non trainable parameter;4;1;0;0;0;1;0.0;25.0;1;5;no obvious reason
how to fix cannot find symbol;6;4;0;0;2;1;33.33;16.67;2;5;
How to run js in java;6;3;0;0;1;2;16.67;33.33;3;5;
spring databuffer to string;4;1;0;0;0;3;0.0;75.0;1;5;no obvious reason
for loop;2;1;0;0;0;1;0.0;50.0;1;1;no obvious reason
loop for 6 times;4;1;0;0;0;2;0.0;50.0;1;1;too specific
how to find list in string;6;3;0;0;1;2;16.67;33.33;1;5;no obvious reason
how to write bytes to a tcp socket stream?;9;2;0;0;1;4;11.11;44.44;1;5;no obvious reason
how to remove the disabled attribute with jquery;8;4;0;0;1;2;12.5;25.0;1;5;no obvious reason
How to call a REST API from PowerShell;8;2;0;0;1;3;12.5;37.5;1;5;non development
How parse email;3;0;0;0;0;1;0.0;33.33;3;5;
flutter qr ios;3;0;0;0;0;3;0.0;100.0;2;5
How to filter a dtresm;5;1;1;0;0;2;0.0;40.0;2;5;
how to display a calendar;5;2;0;0;1;1;20.0;20.0;3;5;
How to accept super type in generics;7;2;0;0;1;2;14.29;28.57;3;5;
powershell custom type accelerator;4;0;0;0;0;4;0.0;100.0;1;5;non development
open a file in go;5;2;0;0;1;2;20.0;40.0;1;5;other language
How to disable blue notification badges on vscode;8;2;0;0;1;3;12.5;37.5;1;5;environment
hot to use deferred customactions;5;2;0;0;1;1;20.0;20.0;1;5;glued words
How to use SOAP with Node JS?;7;3;0;0;1;3;14.29;42.86;1;5
Webflow interaction to react;4;1;0;0;1;2;25.0;50.0;1;5;other language
How to mix audio in ffmpeg?;6;2;0;0;1;2;16.67;33.33;1;5;no obvious reason
How to turn array into string;6;2;0;0;1;2;16.67;33.33;3;5;
how to iterate array of arrays;6;3;0;0;1;2;16.67;33.33;2;5;
How would you call an api?;6;3;0;0;1;1;16.67;16.67;3;5;
How to paginate results in Firebase;6;3;0;0;1;2;16.67;33.33;1;5;environment
how to reverse elements of an array;7;4;0;0;1;2;14.29;28.57;2;5;
How to define a class;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
how to implement a steiner tree?;6;2;0;0;1;2;16.67;33.33;3;5;
How to handle json responses;5;1;0;0;1;2;20.0;40.0;2;5;
How do I extract only the overlaping keys in two objects;11;6;0;0;3;2;27.27;18.18;2;5;
How to invert binary tree;5;1;0;0;1;1;20.0;20.0;1;5;no obvious reason
How to get the nth character from a string;9;4;0;0;1;2;11.11;22.22;3;5;
using streams remove all special characters from a very large file;11;4;0;0;2;3;18.18;27.27;2;5;
How to delete an element from hashMap by key;9;4;0;0;1;3;11.11;33.33;1;5;no obvious reason
how to find the size of a hashmap;8;4;0;0;1;2;12.5;25.0;1;1;no obvious reason
How to delete an object;5;2;0;0;1;1;20.0;20.0;2;5;
load site definitions from magnolia jcr;6;1;0;0;0;5;0.0;83.33;2;5;
groupby substring in jpql query;5;1;0;0;0;3;0.0;60.0;1;5;no obvious reason
collectors tomap with null values;5;1;0;0;1;2;20.0;40.0;3;5;
java stream to exactly one element;6;3;0;0;0;3;0.0;50.0;2;5;
get string data from url;5;2;0;0;1;3;20.0;60.0;3;5;
send http request asynchronously;4;0;0;0;1;2;25.0;50.0;3;5;
how to exit a wpf programm?;6;2;0;0;1;2;16.67;33.33;1;5;other language
how to generate uuid for spring data jdbc?;8;3;0;0;1;4;12.5;50.0;1;5;no obvious reason
how are annotations used;4;3;0;0;2;1;50.0;25.0;2;10;
How to make one class inherit from more than one class?;11;6;0;0;2;1;18.18;9.09;3;5;
Create a list of hashes;5;1;0;0;1;2;20.0;40.0;3;10;
how to create a window;5;2;0;0;1;1;20.0;20.0;1;5;no obvious reason
generate html from xpath;4;1;0;0;1;2;25.0;50.0;1;10;no obvious reason
what is a thread?;4;2;0;0;1;1;25.0;25.0;1;5;conceptual
split string by spaces;4;1;0;0;0;2;0.0;50.0;1;5;no obvious reason
Reverse each string in a list;6;2;0;0;0;2;0.0;33.33;1;5;too specific
Change fragment of Activity;4;1;0;0;0;3;0.0;75.0;1;5;no obvious reason
How to get IntelliJ to run my code?;8;4;0;0;2;2;25.0;25.0;1;5;environment
How to avoid integer division;5;1;0;0;1;2;20.0;40.0;3;5;
bigquery run query from file;5;2;0;0;0;4;0.0;80.0;1;5;environment
How to determine if a given date is a weekday;10;5;0;0;3;2;30.0;20.0;2;5;
How can I force the text in the input field of the command line to sho;16;6;0;0;1;6;6.25;37.5;1;5;environment
how to push to array;5;2;0;0;1;1;20.0;20.0;3;5;
find second last element of array;6;3;0;0;1;2;16.67;33.33;1;5;no obvious reason
print to console;3;1;0;0;1;1;33.33;33.33;1;5;no obvious reason
resize array;2;0;0;0;1;1;50.0;50.0;2;5;
how do I reverse a byte array?;7;2;0;0;2;2;28.57;28.57;1;5;no obvious reason
remove an element from array;5;2;0;0;1;2;20.0;40.0;1;5;no obvious reason
How to make get request?;5;3;0;0;2;1;40.0;20.0;1;5;no obvious reason
poll keystroke;2;0;0;0;0;2;0.0;100.0;2;10;
how create an xor linked list;6;2;0;0;2;2;33.33;33.33;1;5;no obvious reason
convert string to array;4;1;0;0;1;2;25.0;50.0;2;10;
What is size of long;5;2;0;0;1;1;20.0;20.0;1;5;conceptual
how garbage collection works;4;1;0;0;1;2;25.0;50.0;1;5;conceptual
How to add two numbers?;5;2;0;0;1;1;20.0;20.0;3;5;
how to sort an array;5;3;0;0;1;1;20.0;20.0;3;5;
how to avoid concurrent modification exception;6;2;0;0;1;2;16.67;33.33;3;5;
how to convert from input stream to outputstream;8;3;0;0;2;2;25.0;25.0;1;5;no obvious reason
difference between string and stringbuilder;5;2;0;0;0;3;0.0;60.0;3;5;
how to write test cases for angular2 form control;9;3;0;0;1;5;11.11;55.56;1;5;other language
Remove element in arraylist loop;5;1;0;0;1;3;20.0;60.0;2;1;
how to merge two arrays;5;3;0;0;1;1;20.0;20.0;1;5;no obvious reason
How to sort ab array?;5;1;0;0;1;2;20.0;40.0;1;5;no obvious reason
how to add more memory;5;3;0;0;1;1;20.0;20.0;1;5;environment
How to calculate F-score;4;1;0;0;1;1;25.0;25.0;1;5;conceptual
"How to have a "" in a string java";9;3;0;0;1;2;11.11;22.22;1;5;no obvious reason
Create a class named BAa;5;0;0;0;2;2;40.0;40.0;1;5;no obvious reason
pandas drop duplicate indexes;4;0;0;0;2;2;50.0;50.0;1;5;other language
What is an array?;4;2;0;0;1;1;25.0;25.0;2;5;
How to map multiple objects to DTO with MapStruct?;9;2;0;0;1;3;11.11;33.33;1;1;
how to make a get request in angularjs;8;5;0;0;2;2;25.0;25.0;1;10;other language
How do I map a function over a list in parallel?;11;3;0;0;2;3;18.18;27.27;1;5;no obvious reason
how to read a file into a string ?;9;4;0;0;1;2;11.11;22.22;1;5;no obvious reason
How to join two URLs?;5;2;0;0;1;1;20.0;20.0;1;5;no obvious reason
How to join two URL?;5;2;0;0;1;1;20.0;20.0;3;5;
