Query;Thread Id;Rank;threadFinalScore;threadTitleAsymSim;threadTitleAsymSimNorm;threadBodyAsymSim;threadBodyAsymSimNorm;queryTitleCoverageScore;queryCodeCoverageScore;jaccard;2-gramsScore;3-gramsScore;bm25Score;bm25ScoreNorm;tf-idf;tf-idfNorm;AnswerCount;AnswerCountNorm;ThreadUpScore;ThreadTotalUpScore;ThreadTotalUpScoreNorm;

How can I insert an element in array at a given position?


Found Threads: (4);Pivot;------;------;13.64;------;11.54;------;------;------;------;2;1;19.4;------;0.62;------;19.0;------;------;498.0
;https://stackoverflow.com/questions/7074402;0;2.36;11.79;0.86;10.29;0.89;0.5;0.75;0.04;0;0;19.4;1.0;0.43;0.7;5;0.3;0.6;266;0.5;
;https://stackoverflow.com/questions/7384908;26;2.46;8.36;0.61;10.19;0.88;0.0;1.0;0.03;0;0;17.49;0.9;0.32;0.51;14;0.7;0.8;383;0.8;
;https://stackoverflow.com/questions/9823503;85;1.86;10.55;0.77;9.14;0.79;0.5;1.0;0.08;1;0;19.24;0.99;0.49;0.79;7;0.4;0.2;5;0.0;
;https://stackoverflow.com/questions/11638123;119;2.14;10.34;0.76;9.3;0.81;0.5;0.75;0.03;1;0;17.01;0.88;0.4;0.65;15;0.8;0.4;51;0.1;

Missed Threads: (0)

Trash in round 2: (134);https://stackoverflow.com/questions/4234827;1;2.01;13.64;1.0;8.21;0.71;0.75;0.5;0.07;0;0;12.74;0.66;0.44;0.71;6;0.3;0.3;16;0.0;
;https://stackoverflow.com/questions/11685305;2;1.49;6.99;0.51;6.16;0.53;0.0;0.75;0.07;0;0;12.41;0.64;0.39;0.63;2;0.1;0.5;94;0.2;
;https://stackoverflow.com/questions/54756172;3;1.59;8.73;0.64;9.87;0.86;0.25;1.0;0.02;0;0;17.87;0.92;0.41;0.65;4;0.2;0.2;10;0.0;
;https://stackoverflow.com/questions/38139466;4;1.56;8.57;0.63;9.1;0.79;0.5;0.75;0.02;0;0;12.72;0.66;0.42;0.67;4;0.2;0.2;12;0.0;
;https://stackoverflow.com/questions/7746662;5;1.62;9.42;0.69;9.14;0.79;0.5;0.25;0.03;0;0;14.09;0.73;0.41;0.66;3;0.2;0.2;3;0.0;
;https://stackoverflow.com/questions/47135454;6;1.34;7.22;0.53;8.16;0.71;0.0;0.75;0.02;0;0;12.54;0.65;0.31;0.51;4;0.2;0.2;9;0.0;
;https://stackoverflow.com/questions/1427200;7;1.75;7.78;0.57;8.35;0.72;0.25;1.0;0.02;0;0;11.92;0.61;0.33;0.53;12;0.6;0.4;55;0.1;
;https://stackoverflow.com/questions/32922862;8;1.51;9.92;0.73;8.92;0.77;0.5;0.5;0.02;1;0;12.18;0.63;0.37;0.6;1;0.1;0.1;2;0.0;
;https://stackoverflow.com/questions/40481140;9;1.7;10.03;0.74;9.25;0.8;0.0;0.5;0.03;0;0;13.9;0.72;0.51;0.83;2;0.1;0.2;5;0.0;
;https://stackoverflow.com/questions/31648253;10;1.68;12.72;0.93;6.82;0.59;0.75;0.5;0.13;0;0;12.84;0.66;0.37;0.6;3;0.2;0.1;3;0.0;
;https://stackoverflow.com/questions/23630668;11;1.53;8.25;0.61;9.29;0.81;0.25;0.25;0.05;0;0;17.02;0.88;0.34;0.55;4;0.2;0.3;23;0.0;
;https://stackoverflow.com/questions/12492692;12;1.67;9.51;0.7;9.37;0.81;0.25;0.25;0.12;0;0;12.79;0.66;0.39;0.63;3;0.2;0.3;18;0.0;
;https://stackoverflow.com/questions/22895991;13;1.57;8.78;0.64;7.35;0.64;0.0;0.75;0.06;0;0;13.21;0.68;0.51;0.82;3;0.2;0.2;9;0.0;
;https://stackoverflow.com/questions/15281090;14;1.59;9.77;0.72;8.35;0.72;0.5;0.5;0.06;0;0;11.95;0.62;0.39;0.63;5;0.3;0.1;5;0.0;
;https://stackoverflow.com/questions/51033633;15;1.52;8.6;0.63;8.44;0.73;0.0;0.75;0.02;0;0;12.93;0.67;0.47;0.75;3;0.2;0.1;6;0.0;
;https://stackoverflow.com/questions/30522362;16;1.45;7.14;0.52;8.52;0.74;0.25;0.75;0.05;0;0;12.96;0.67;0.5;0.81;1;0.1;0.2;10;0.0;
;https://stackoverflow.com/questions/44101773;17;1.42;8.2;0.6;9.1;0.79;0.0;1.0;0.03;0;0;16.42;0.85;0.34;0.54;3;0.2;0.1;3;0.0;
;https://stackoverflow.com/questions/45891475;18;1.51;8.98;0.66;9.6;0.83;0.0;0.75;0.03;0;0;12.86;0.66;0.36;0.57;1;0.1;0.2;8;0.0;
;https://stackoverflow.com/questions/9995432;19;1.8;8.22;0.6;8.13;0.71;0.25;0.75;0.04;0;0;11.83;0.61;0.48;0.78;8;0.4;0.4;33;0.1;
;https://stackoverflow.com/questions/19956225;20;1.63;8.78;0.64;8.57;0.74;0.25;0.75;0.06;0;0;13.16;0.68;0.52;0.84;3;0.2;0.2;5;0.0;


-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;-----;

How do I compress or zip a directory recursively?


Found Threads: (7);Pivot;------;------;18.5;------;15.42;------;------;------;------;1;0;27.69;------;0.45;------;13.0;------;------;570.0
;https://stackoverflow.com/questions/9324933;3;2.79;14.26;0.77;12.71;0.82;0.25;0.5;0.01;0;0;15.52;0.56;0.27;0.6;9;0.7;0.9;570;1.0;
;https://stackoverflow.com/questions/23318383;4;1.98;17.67;0.96;14.41;0.93;0.5;0.75;0.04;0;0;27.69;1.0;0.28;0.61;3;0.2;0.3;18;0.0;
;https://stackoverflow.com/questions/740375;8;2.28;16.93;0.92;13.48;0.87;0.25;0.75;0.03;0;0;18.67;0.67;0.39;0.86;5;0.4;0.5;83;0.1;
;https://stackoverflow.com/questions/1399126;28;2.13;13.05;0.71;12.29;0.8;0.5;1.0;0.01;0;0;24.31;0.88;0.34;0.76;8;0.6;0.5;142;0.2;
;https://stackoverflow.com/questions/15968883;51;2.52;15.07;0.81;11.13;0.72;0.25;0.75;0.01;0;0;18.09;0.65;0.31;0.69;12;0.9;0.6;306;0.5;
;https://stackoverflow.com/questions/3961087;74;2.01;15.3;0.83;11.93;0.77;0.0;0.5;0.02;0;0;14.18;0.51;0.31;0.69;7;0.5;0.3;30;0.1;
;https://stackoverflow.com/questions/2403830;81;1.92;16.18;0.87;13.99;0.91;0.75;0.5;0.06;1;0;22.0;0.79;0.36;0.79;3;0.2;0.2;13;0.0;

Missed Threads: (1);https://stackoverflow.com/questions/13461393;-1;14.58;17.97;-1;11.19;-1;0.5;0.5;0.29;0;0;0.0;-1;0.0;-1;5;-1;-1;41;-1;


Trash in round 2: (97);https://stackoverflow.com/questions/35639325;0;1.71;16.66;0.9;10.82;0.7;0.5;0.5;0.01;0;0;16.54;0.6;0.28;0.62;1;0.1;0.2;4;0.0;
;https://stackoverflow.com/questions/13419979;1;1.59;12.72;0.69;11.61;0.75;0.25;0.5;0.01;0;0;14.53;0.52;0.38;0.84;1;0.1;0.1;3;0.0;
;https://stackoverflow.com/questions/4047159;2;1.55;12.48;0.67;10.13;0.66;0.0;0.5;0.03;0;0;14.34;0.52;0.31;0.69;4;0.3;0.1;3;0.0;
;https://stackoverflow.com/questions/27539882;5;1.35;9.34;0.5;10.64;0.69;0.0;0.5;0.03;0;0;14.12;0.51;0.27;0.6;2;0.2;0.2;6;0.0;
;https://stackoverflow.com/questions/20013091;6;1.66;12.43;0.67;12.72;0.83;0.0;0.5;0.03;0;0;15.73;0.57;0.34;0.75;1;0.1;0.3;18;0.0;
;https://stackoverflow.com/questions/847892;7;1.69;13.05;0.71;11.69;0.76;0.25;0.25;0.02;0;0;13.94;0.5;0.32;0.71;4;0.3;0.2;7;0.0;
;https://stackoverflow.com/questions/30183634;9;1.86;15.41;0.83;14.36;0.93;0.25;0.75;0.02;0;0;22.49;0.81;0.33;0.72;3;0.2;0.2;6;0.0;
