undermining|assault
cancel|confirm,inscribe,appoint,enact,indorse,camp
acutely|chronically
collocate|divide
unavailable|valid,available,applicable
abrupt|gliding,unctuous,suave,expected,easy,complaisant,polished,undulating,mellifluous,even,plain,bland,courteous,elegant,smooth
spontaneous|artificial,compelled,forced,induced,unwilling,reluctant,coerced
pollution|decontamination,ablution
pretend|substantiate,refute,test,verify,detect,expose,unmask
imperfect|perfect,faultless,whole
end-stopped|run-on
blameworthy|innocent,virtuous,blameless,just,laudable
widowhood|marriage
gloomy|brilliant,white,jovial,pleasant,festive,luminous,splendid,jolly,radiant,merry
infleorible|supple
abandonwent|enforcement
energy|clumsiness,inactivity,weariness,indolence,slowness,sluggishness,sloth,lassitude,languor,heaviness,imbecility,laziness,inertness
deference|indignity,provocation,contumely,disobedience,impudence,ridicule,disrespect,insolence,defiance,intrenchment,egoism,presumption
downtick|uptick
esthetical|inaesthetic
fraternize|fraternity
'|toil,notable
avoidance|aim,aspiration,leaning,interview
compassionate|oppressive,blood-thirsty,ruthless
/|rehearse,catastrophe,agitate
cool down|heat
perspicacity|inobservance,obtuseness,stupefaction,hebetude,dulness,bewilderment,labyrinth,insensibility,stolidity
nonviolent|violent
9|stout
protective|wasteful
amusing|wearisome,tedious,terrible
copyism|ideality
grandiloquence|eloquence,naivet6,unaffectedness,vernacular,simplicity
indigence|wealth,competence,riches,opulence,affluence,sustenance,livery,resources
flit|remain,dwell
fearless|aforesaid,aghast,afraid
detrimentally|harmlessly
roll|unwind
turn|unbend,convince,maintain
divergency|convergency,convergence
paintable|unpaintable
home game|away game
result|antecedent,principle,beginning,origin,germ,cause,commencement,prognostic,initiation,betide,derivation,grotesque,indication,rise,premonition
selfish|public-spirited,philanthropic,magnanimous,charitable,bountiful,unselfish,considerate,generous,popular,beneficent,altruistic,self-denying,liberal
terseness|circumlocution,verboseness
evaporate|consolidate,compact,indurate,dip,crystallize,fill,solidify
resuscitation|abeyance
after|or,previous,before,in,already,introduce,introducing,facing,opposite,immediately,upon,advance,instantly,previously,prior,of,preceding,front,to,afore
resume|suspend,grant
a|instantly,vigilance,womanly,attachment,womanish,occasionally,immediately,follow,encumbrance
f|term,applause,hot,graphic,beneficence,meddlesome,presumption
commonness|uncommonness,characteristic
i|occasionally,aggregation
rightfulness|wrongfulness,wrong
j|glare,assortment
weeping|laughter
neighbor|feud
m|vaticination
n|gawky,loquacity,aggregation
expugnable|impregnable
inhalation|exhalation
r|bottom
s|feud
force back|attract
outdoors|indoors,inside
t|shame,apocalyptic,urbane,aggregation,vaticination,exterminate,horse,myth,nefarious,interrogate,awkward,luxury,propagate,grotesque,depression
u|loquacity,aggregation
enchantment|repulsion,shock,disillusionment,alienation
sunset|sunrise,morning
information|divination,ignorance,occultation,concealment,mystification
dogged|docile
unpicturcsque|graphic
illumed|dark
powered|unpowered
put up|level
uprising|congress,empire
good|badness,envy,bad,erring,disaster,calamity,venom,bubble,acrimony,crime,abandoned,naughty,ire,wicked,mischief,evilness,adversity,insanity,hurtful,ill,pernicious,misfortune,fraud,affray,malice,evil
empty|fraught,inflate,fill,full
faithful|inexact,fickle,wavering,untrustworthy,false,unfaithful,faithless,perfidious,untrue,inaccurate,capricious
reproduce|invent
flaring|colorless,toned,dowdy,subdued,harmonized,dim,dingy,neutral,dull
serious|insignificant,thoughtless,capricious,humorous,unimportant,farcical,trivial,frivolous,nominal,witty,trifling,whereas,playful,funny,gay,desultory,nugatory,joking,jocose,careless,light,facetious,ludicrous,little,laughing
disperse|amalgamate,absorb,assemble,brew,concentrate,article,hold,call,engross,centralize,contumely,arrange,accumulate,amass,congregate
dyspnoeic|breathing
irrelevancy|bearing,relevance,relation
erratic|normal,static,calculable,uniform,conventional,stationary,unalterable,methodical,sober,under,iating,steady,regular
quickening|delay
adoration|abomination,abhorrence,disesteem,hatred,execration,detestation
intraspecific|interspecies
irrelevance|relevancy,relevance
untheatrical|theatrical
informative|uninformative
extirpate|cultivate,instil,foment
gone|arrive,future
nonadhesive|adhesive
divergence|inclination,convergency,collision,approximation,aim,unison,convergence,tendency,way
importune|abandon,sacrifice,grant,bestow,surrender
categorically|conditionally
self-denying|jealous,selfish,voluptuous,licentious
tury|discover
ill-treated|unabused
enjoined|gratuitous
ascend|descend,set,fall,artist,sink,settle,alight
outwardness|inwardness
drinkable|undrinkable
disturbed|calm,still,placid,sedate,easy
raging|calm
displeased|pleased
bear in mind|forget
proactive|retroactive
polysemy|monosemy
embody|adumbrate,analyze,dismember
representation|cargo
ascent|descent,fall
adrift|aground
motive|execution,deterrent,achievement,deflector,action,project,attempt,deed,preventive,dissuasion
root|product,issue,acme,descendent,progeny,descendant,branch,ramification,apex,superstructure
audibleness|inaudibility
multiply|lessen,singly,unite,divide
miscontrive|elaborate,find,contrive
conducive|corrective
effeminacy|hardihood,manhood,fortitude,prowess
caliber|incapacity,smallness,imbecility,puerility,thinness
multiple|single
catalectic|acatalectic
better|worsen,aggravate,betrothal,worse
ungratefully|gratefully
intemperate|temperate,frugal,sober,abstinent
poignant|inexpressive,pointless,obtuse,blunt,insipid,vapid,dull
disinvest|invest
permissible|felonious
bestride|hop out
part-time|full-time
chilly|fiery,hot
uprightness|iniquity,injustice,fraud,sin,mendacity
burlesque|classic,fact,history
costive|laxative
pilosity|hairlessness
vaporless|lowering
flow|percolate,ebb,stint,recoil,falter,halt,fail,hitch,stop,stagnate,beat,stick,hesitate,regurgitate,stickle
order|prohibit,fancy,alloicance,serve,insurrection,inventory,revolution,uproar,liberty,leave,miscellany,warfare,outbreak,litter,disarray,tumult,aberration,medley,permission,anarchy,consent,countermand,license,disorder,sedition,permit,deregulate,jungle
undignified|courtly,imposing,superb,awful,stupor,dignified,magazine,lofty
attenu-|corpulent
deniable|undeniable
timid|desperate,adventurous,audacious,dauntless,stout,manly,bold,resolute,impulsive,valiant,intrepid,enterprising,brave,time,venturous,daring,hash
resonance|silence
harmfully|harmlessly
angular|rounded
remit|avenge,enforce,enjoin
derangement|system,regulation
ensue|precede,introduce,threaten,herald,forewarn,caution,premonish
homage|treason,insubordination,disaffection,rebellion,provocation,ridicule,affront,defiance
woman|magnitude,man
unreconciled|reconciled
pine|vegetate,luxuriate
protection|wreath,violence
indelectable|estimable
inexpressive|poignant,sign
put on|reduce
honesty|iniquity,injustice,intrigue,insincerity,unfairness,falsehood,mendacity,dishonesty,deception,fraud,guile,hypocrisy,trickery,chicanery,pretense
rosy|wan,by
fraternity|abjure,ostracise,fraternize,forswear,renounce
ebb down|tide
redundancy|marrow,girl
unforgiving|forgiving
start up|stop,clean up,shut down
impoverish|augment,aggrandize,endow,feed,accouter,enrich,store,enhance
question|answer,reply
colourise|discolor
intellectual|illiterate,unlearned,emotional,ignorant,worldly
abutment|abuttal,breach,corner,separation,chasm,fissure,gap,interval,interspace,abyss
officious|negligent,retiring,remiss,backward,modest
resurrect|bury
com|notable
hindering|useful
unplayful|playful
coy|flippant,pert,forward,impertinent,bold,brazen
pacify|disconcert,district,embitter,embroil,enrage,madden,agitate,inflame
bruise|soothe,heal
rove|reflect
joyously|joylessly
representative|constituent,despotic
pernicious|advantageous,wholesome,rejuvenating,favorable,good,life-giving,invigorating,dictionary,healthy,beneficial,helpful,serviceable,harmless,useful,beneficent,salutary,healthful
mystifying|lucid
rout|victory
plenty|beggary,dearth,scarce
decampment|foray
rarity|mediocrity,abundance,multiplication
indurate|evaporate,soften
toughened|tender,untempered
trustfulness|distrust
effective|inadequate,inoperative,inconducive,fee,vain,futile,incompetent,nugatory,impotent,bootless,weak,ineffective,powerless,amiss,finical,lame
footed|footless
debtor|creditor
vacillating|changeless,stubborn,dogmatic,oracular,confident,true,strenuous,spy,resolute
lowborn|noble
specializer|generalist
lackward|onward
contiguity|distance,abyss,space
aerophilic|anaerobic
celibate|marital
bachelor|nuptial
maximal|minimal,minimum
cry|carol,language
de-escalate|escalate
mispronounce|say,pronounce
membered|memberless
quantitative|qualitative,syllabic,accentual,essential
harness|unharness
impatience|equanimity,leniency,longsuffering,composure,patience,calmness,submission,endurance,fortitude,forbearance
fatten|macerate
hearable|inaudible
disfigured|fair
misapplication|usage,instrument
fullness|emptiness
vertebrate|invertebrate
